lower_mileage_bound,upper_mileage_bound,base_rate,rate_per_mile,los
0,4,13.85,0,A
0,4,22.85,0,W
0,4,9.78,0,A-EP
0,4,16.14,0,W-EP
4,7,16.82,0,A
4,7,26.14,0,W
4,7,11.88,0,A-EP
4,7,18.47,0,W-EP
7,10,20.4,0,A
7,10,30.27,0,W
7,10,14.41,0,A-EP
7,10,21.38,0,W-EP
10,1000,20.4,1.92,A
10,1000,30.27,2.1,W
10,1000,14.41,1.35,A-EP
10,1000,21.38,1.68,W-EP
