Driver_id, Trip_id, Time, Miles, Trip_Time, Trip_type
Allan,01-73577-A,0.4201305423025929,3.506009542133106,0.004869457697407092,TripType.B
Allan,01-73577-B,0.4930475423025929,3.506009542133106,0.004869457697407092,TripType.D
Allan,1038,1.0,3.0667834212997143,0.004259421418471825,TripType.INTER_B
Allan,1100,0,3.0667834212997143,0.004259421418471825,TripType.INTER_A
Charles,01-36535-B,0.31250033334,11.432458054522955,0.015878413964615215,TripType.D
Charles,01-37414-A,0.198494800456221,12.083903671520893,0.016783199543779017,TripType.B
Charles,01-35956-B,0.5793844706094595,15.342861161189118,0.02130952939054044,TripType.D
Charles,01-37381-B,0.38541633334,19.447226125129113,0.027010036284901548,TripType.D
Charles,01-116251-B,0.6353927545453616,3.5984723501361557,0.004997878264077994,TripType.D
Charles,01-37381-A,0.34451796371509846,19.447226125129113,0.027010036284901548,TripType.B
Charles,01-37099-A,0.30318343119221886,4.208089541602431,0.005844568807781153,TripType.B
Charles,01-37414-B,0.39583333334,12.083903671520893,0.016783199543779017,TripType.D
Charles,01-19018-A,0.17634518117670556,10.9978479020245,0.015274788752811805,TripType.B
Charles,01-35956-A,0.3814684706094596,15.342861161189118,0.02130952939054044,TripType.B
Charles,01-37095-A,0.41666633334,4.949877979226687,0.006874830526703732,TripType.B
Charles,01-37095-B,0.62500033334,4.949877979226687,0.006874830526703732,TripType.D
Charles,514,0.2062500000000001,1.3896295916818275,0.001930041099558094,TripType.A
Charles,524,0.19161996992951735,4.949877979226687,0.006874830526703732,TripType.A
Charles,384,0.3090280000000001,0.0,0.0,TripType.C
Charles,726,0.6403906328094396,1.7996874327114671,0.0024995658787659264,TripType.C
Charles,768,0.33872395203040684,11.11851454290669,0.015442381309592626,TripType.A
Charles,418,0.6318751638667037,2.5326652886336465,0.0035175906786578423,TripType.C
Charles,121,1.0,9.087722636827754,0.012621836995594103,TripType.A
Charles,746,0.3283787473046152,9.087722636827754,0.012621836995594103,TripType.A
Charles,855,1.0,9.757251601242482,0.013551738335059002,TripType.INTER_B
Charles,477,0,3.540659057529165,0.004917582024346063,TripType.INTER_A
Dave,01-37274-B,0.3080008479195241,1.739629497942652,0.0024161520804759054,TripType.D
Dave,01-37274-A,0.22916633334,1.739629497942652,0.0024161520804759054,TripType.B
Dave,780,1.0,0.621589879531653,0.0008633192771272959,TripType.INTER_B
Dave,153,0,0.621589879531653,0.0008633192771272959,TripType.INTER_A
Mike,01-36121-A,0.14583333334,26.535688594142503,0.03685512304742014,TripType.B
Mike,01-92415-A,0.6191737381580836,2.6951485261798545,0.0037432618419164644,TripType.B
Mike,01-36121-B,0.46106187695257983,26.535688594142503,0.03685512304742014,TripType.D
Mike,01-116251-A,0.576252121735922,3.5984723501361557,0.004997878264077994,TripType.B
Mike,01-92415-B,0.6504237381580836,2.6951485261798545,0.0037432618419164644,TripType.D
Mike,1048,0.58125,1.8665830426325163,0.002592476448100717,TripType.A
Mike,830,0.49791700000000017,18.75962282966606,0.02605503170786953,TripType.A
Mike,504,0,18.797860298843922,0.026108139303949892,TripType.INTER_A
Mike,270,1.0,0.41057551454170704,0.0005702437701968153,TripType.INTER_B
Rob,01-37099-B,0.33333333334,4.208089541602431,0.005844568807781153,TripType.D
Rob,01-116383-A,0.50000033334,3.196970668810216,0.004440237040014189,TripType.B
Rob,01-36553-A,0.3515040923376014,6.916973516927019,0.009606907662398637,TripType.B
Rob,01-36553-B,0.53125033334,6.916973516927019,0.009606907662398637,TripType.D
Rob,01-12943-B,0.9967309154765376,2.3537408568929585,0.0032690845234624425,TripType.D
Rob,01-36535-A,0.2931495860353848,11.432458054522955,0.015878413964615215,TripType.B
Rob,01-12943-A,0.5988139154765376,2.3537408568929585,0.0032690845234624425,TripType.B
Rob,01-116383-B,0.57291633334,3.196970668810216,0.004440237040014189,TripType.D
Rob,01-19018-B,0.272170119900042,10.9978479020245,0.015274788752811805,TripType.D
Rob,985,0.3090280000000001,0.0,0.0,TripType.C
Rob,897,0.2874449086528538,4.107367715422298,0.00570467738253097,TripType.A
Rob,969,1.0,0.9712256466442245,0.0013489245092280896,TripType.C
Rob,974,0.3090280000000001,1.5715825706482092,0.002182753570344735,TripType.A
Rob,73,0.3819440000000003,1.4595350656355761,0.002027132035604967,TripType.A
Rob,28,0.5798610000000002,1.3778959638205248,0.0019137443941951732,TripType.A
Rob,207,0,6.169872309191138,0.008569267096098803,TripType.INTER_A
Rob,230,1.0,4.27403511829615,0.005936159886522431,TripType.INTER_B
Frank,1103,0,1.167805898839935,0.0016219526372776875,TripType.INTER_A
Frank,66,1.0000000000000002,1.167805898839935,0.0016219526372776875,TripType.INTER_B
