driver_id, trip_id, time, cap, miles
101,01-116251-B,0.6657375254095245,1.0,3.5984723501361557
101,01-116383-B,0.57291633334,1.0,3.196970668810216
101,01-12943-A,0.56250033334,1.0,2.3537408568929585
101,01-12943-B,0.567134700904714,1.0,2.3537408568929585
101,01-19018-B,0.27217011990004214,1.0,10.9978479020245
101,01-36121-A,0.14583333334,1.0,26.535688594142503
101,01-36121-B,0.43929066095952257,1.0,26.535688594142503
101,01-36535-A,0.2931495860353848,1.5,11.432458054522955
101,01-36535-B,0.31250033333999994,1.5,11.432458054522955
101,01-36553-B,0.53125033334,1.5,6.916973516927019
101,01-37095-B,0.6553451042041629,1.0,4.949877979226687
101,01-37381-A,0.34451796371509846,1.5,19.447226125129113
101,01-37381-B,0.3854163333399999,1.5,19.447226125129113
101,01-92415-A,0.5833333333399995,1.0,2.6951485261798545
101,01-92415-B,0.6504237381580836,1.0,2.6951485261798545
102,01-116251-A,0.5454972131323057,1.0,3.5984723501361557
102,01-116383-A,0.5351427629599859,1.0,3.196970668810216
102,01-19018-A,0.15625033334000002,1.0,10.9978479020245
102,01-35956-A,0.37062970476256935,1.5,15.342861161189118
102,01-35956-B,0.55208333334,1.5,15.342861161189118
102,01-36553-A,0.3429670951505355,1.5,6.916973516927019
102,01-37095-A,0.44890959081518783,1.0,4.949877979226687
102,01-37099-A,0.30318343119221913,1.5,4.208089541602431
102,01-37099-B,0.3333333333399999,1.5,4.208089541602431
102,01-37274-A,0.22916633334,1.0,1.739629497942652
102,01-37274-B,0.2708333333399999,1.0,1.739629497942652
102,01-37414-A,0.1783999526195155,1.5,12.083903671520893
102,01-37414-B,0.4139817630285438,1.5,12.083903671520893
102,01-73577-A,0.40146233622152644,1.0,3.506009542133106
102,01-73577-B,0.4583333333399999,1.0,3.506009542133106
