Miles,A,W,A-EP,W-EP
0,13.85,22.85,9.78,16.14
4,16.82,26.14,11.88,18.47
7,20.4,30.27,14.41,21.38
10,20.4,30.27,14.41,21.38
>10,1.92,2.1,1.35,1.68
